"","x"
"1",5
"2",0.1
"3",10
"4",20
"5",5
"6",0.05
"7",0.01
"8",0.5
"9",0.01
"10",20
"11",0.05
"12",5
"13",0.01
"14",10
"15",0.1
"16",0.01
"17",20
"18",0.5
"19",1
"20",10
"21",1
"22",0.05
"23",10
"24",0.5
"25",0.1
"26",10
"27",5
"28",0.01
"29",10
"30",20
"31",20
"32",0.05
"33",1
"34",20
"35",0.01
"36",1
"37",0.5
"38",0.5
"39",20
"40",0.1
"41",10
"42",0.01
"43",0.01
"44",1
"45",10
"46",20
"47",20
"48",20
"49",1
"50",5
"51",0.1
"52",0.05
"53",0.01
"54",0.01
"55",0.01
"56",0.05
"57",0.05
"58",0.1
"59",0.05
"60",1
"61",20
"62",0.5
"63",0.05
"64",5
"65",0.1
"66",20
"67",0.01
"68",0.01
"69",20
"70",0.01
"71",20
"72",0.01
"73",10
"74",0.5
"75",0.05
"76",0.01
"77",0.5
"78",0.05
"79",0.01
"80",0.01
"81",20
"82",0.1
"83",20
"84",20
"85",0.01
"86",0.1
"87",0.1
"88",5
"89",20
"90",0.01
"91",0.01
"92",10
"93",0.5
"94",5
"95",20
"96",1
"97",1
"98",20
"99",0.05
"100",0.1
"101",10
"102",10
"103",1
"104",20
"105",0.01
"106",5
"107",0.01
"108",20
"109",0.01
"110",0.01
"111",0.5
"112",5
"113",1
"114",0.05
"115",1
"116",1
"117",0.5
"118",5
"119",20
"120",0.1
"121",20
"122",0.1
"123",20
"124",10
"125",0.05
"126",0.05
"127",0.05
"128",10
"129",1
"130",20
"131",0.1
"132",1
"133",0.1
"134",0.5
"135",5
"136",0.01
"137",20
"138",5
"139",20
"140",0.1
"141",0.1
"142",0.05
"143",1
"144",10
"145",0.01
"146",0.01
"147",1
"148",0.01
"149",0.01
"150",20
"151",0.01
"152",0.05
"153",10
"154",5
"155",0.5
"156",5
"157",0.1
"158",1
"159",10
"160",0.01
"161",0.01
"162",0.01
"163",0.01
"164",0.5
"165",0.01
"166",1
"167",0.5
"168",0.5
"169",1
"170",0.5
"171",20
"172",0.5
"173",10
"174",5
"175",20
"176",0.01
"177",0.01
"178",0.05
"179",0.01
"180",5
"181",0.5
"182",0.5
"183",1
"184",5
"185",10
"186",1
"187",0.1
"188",0.01
"189",10
"190",0.1
"191",0.01
"192",0.05
"193",0.05
"194",1
"195",0.01
"196",5
"197",0.01
"198",10
"199",0.01
"200",0.5
"201",20
"202",NA
"203",0.05
"204",0.05
"205",0.01
"206",NA
"207",NA
"208",NA
"209",10
"210",NA
"211",5
"212",0.01
"213",0.01
"214",1
"215",5
"216",10
"217",NA
"218",5
"219",NA
"220",0.5
"221",0.05
"222",0.01
"223",0.01
"224",0.01
"225",0.01
"226",0.05
"227",0.05
"228",1
"229",20
"230",0.1
"231",0.5
"232",0.1
"233",1
"234",0.1
"235",20
"236",1
"237",10
"238",5
"239",0.01
"240",1
"241",0.01
"242",0.01
"243",10
"244",5
"245",0.1
"246",0.5
"247",0.05
"248",0.01
"249",10
"250",20
"251",0.1
"252",0.01
"253",20
"254",0.5
"255",0.01
"256",0.5
"257",1
"258",0.1
"259",0.01
"260",20
"261",10
"262",10
"263",0.01
"264",1
"265",1
"266",10
"267",20
"268",10
"269",20
"270",1
"271",0.01
"272",5
"273",0.01
"274",0.01
"275",1
"276",1
"277",5
"278",0.1
"279",20
"280",1
"281",1
"282",1
"283",1
"284",0.5
"285",0.5
"286",0.01
"287",0.01
"288",5
"289",5
"290",1
"291",0.5
"292",0.01
"293",NA
"294",5
"295",10
"296",20
"297",0.1
"298",10
"299",0.5
"300",0.01
"301",0.01
"302",0.01
"303",10
"304",10
"305",0.01
"306",20
"307",1
"308",0.01
"309",5
"310",5
"311",1
"312",1
"313",20
"314",1
"315",0.5
"316",0.1
"317",0.01
"318",0.1
"319",0.01
"320",0.01
"321",0.01
"322",0.01
"323",20
"324",20
"325",0.5
"326",5
"327",0.01
"328",20
"329",0.01
"330",0.01
"331",0.01
"332",0.01
"333",1
"334",10
"335",0.01
"336",0.01
"337",20
