"latitude","longitude","station","region"
20.85,88.25,"SANDHEADS       ","S"
21.65,88.05,"SAGAR ISLAND    1","S"
21.67,88.35,"RAIDIGHI        ","S"
21.7,87.55,"RAMNAGAR        ","S"
21.75,88.05,"SAGAR ISLAND    2","S"
21.78,87.75,"CONTAI          ","S"
21.83,87.78,"DIGHA           ","S"
21.84,87.9,"JENKA           ","S"
21.87,87.43,"MOHANPUR        ","W"
21.87,87.95,"GHARGRAM KHEJURI","S"
21.87,88.18,"KAKDWIP         ","S"
21.97,87.27,"DANTAN          ","W"
21.97,87.27,"DANTEN          ","W"
21.98,87.8,"HENRIA          ","S"
22,88,"CANNING         2","S"
22,88,"KALYANI         2","S"
22.02,87.97,"NANDIGRAM       ","S"
22.03,87.3,"PACHET%KHARAI   ","W"
22.05,88.07,"DURGACHACK      ","S"
22.06,88.12,"GADGHAT         ","S"
22.07,88.07,"HALDIA          ","S"
22.08,88.37,"CHINSURA        2","S"
22.12,87.75,"BHAGWANPUR      ","S"
22.12,87.95,"ETAMOGRA        ","S"
22.12,88.1,"KUKRAHATI       ","S"
22.13,87.23,"KESIARY KALTIKRI","W"
22.13,87.58,"SABONG          ","S"
22.17,87,"SALBANI         ","W"
22.17,87.37,"NARAYANGARH     ","W"
22.18,88.18,"DIAMOND HARBOUR 1","S"
22.18,88.2,"DIAMOND HARBOUR 2","S"
22.18,88.8,"GOSABA          ","S"
22.2,88.47,"BASIRHAT        1","S"
22.22,86.88,"GOPIBALLABHPUR  ","W"
22.23,87.8,"MOYNA           ","S"
22.25,87.58,"PINGLA          ","S"
22.25,88.67,"CANNING         1","S"
22.27,87.92,"TAMLUK          2","S"
22.3,87.3,"KHARAGPORE      2","W"
22.3,87.92,"TAMLUK          1","S"
22.33,87.32,"KHARAGPORE I.I.T","W"
22.33,87.33,"KHARAGPORE      1","W"
22.33,88.38,"BARNIPUR        1","S"
22.35,87.22,"KALAIKONDA  AF  ","W"
22.35,88.26,"MO SALT LAKE    ","S"
22.37,86.43,"BARNIPUR        2","W"
22.37,87.55,"BALICHAK        ","S"
22.42,87,"PHULBERIA       ","W"
22.42,87.32,"MIDNAPORE       ","W"
22.42,87.32,"MIDNAPORE (SCRF)","W"
22.42,87.32,"MIDNAPORE(CWC)  ","W"
22.42,87.72,"PANSKURA        ","S"
22.43,87.87,"KOLAGHAT        ","S"
22.44,87,"JHARGRAM (PT0)  ","W"
22.45,87,"JHARGRAM        ","W"
22.47,88.08,"ULUBERIA        3","S"
22.47,88.12,"ULUBERIA        1","S"
22.48,87,"GHARGRAM        ","W"
22.48,88.18,"BUDGE BUDGE     ","S"
22.5,87.95,"ULUBERIA        2","S"
22.53,88.33,"ALIPUR          ","S"
22.57,87.6,"NARAJOLE        ","S"
22.58,87.05,"LALGARH         ","W"
22.58,88.02,"AMTA            ","S"
22.58,88.32,"HOWRAH          ","S"
22.6,88.32,"KAKDWIP AMFU    ","S"
22.63,86.8,"SILDA BELPAHARI ","W"
22.63,86.98,"D.P.GHAT        ","W"
22.65,87.72,"GHATAL          ","S"
22.65,88.45,"DUM DUM AERO    ","S"
22.67,88.08,"JAGATBALLARPUR  ","S"
22.67,88.12,"JAGATVALLAVPUR  ","S"
22.67,88.65,"DEGANGA         1","S"
22.67,88.65,"MANMOTHNAGAR    ","S"
22.67,88.87,"BASIRHAT        2","S"
22.67,88.88,"BASIRHAT(DEPT)  ","S"
22.68,88.67,"DEGANGA         2","S"
22.7,87.18,"GOALFORE        ","W"
22.7,87.58,"KHIRAPAI        ","S"
22.72,87.83,"KHANAKUL        ","S"
22.72,88.48,"BARASAT         ","S"
22.73,87.52,"CHANDRAKONA     ","S"
22.75,87.03,"SARANGA         ","W"
22.75,88.35,"SERAMPORE       ","S"
22.77,87.33,"AMLAGORA        ","W"
22.77,88.37,"BARRACKPORE     ","S"
22.77,88.37,"BARRACKPUR(IAF) ","S"
22.78,86.93,"SIROMANIPUR     ","W"
22.78,87.83,"TENTULIA        ","S"
22.8,86.95,"RAIPUR          ","W"
22.8,87.9,"HARINKHOLA      ","S"
22.8,88.3,"CHANDITALA      ","S"
22.82,88.22,"SINGUR          ","S"
22.88,86.5,"BANDWAN         ","W"
22.88,86.78,"RANIBANDH       ","W"
22.88,87.78,"ARAMBAGH        ","S"
22.9,88.02,"TARAKESHWAR     ","S"
22.9,88.37,"CHINSURA        1","S"
22.92,87.07,"SIMLAPAL        ","W"
22.92,88.4,"HOOGHLY         ","S"
22.93,86.77,"AMBIKANAGAR     ","W"
22.93,86.77,"KANSABETI DAM   ","W"
22.95,86.78,"MUKUTMONIPUR    ","W"
22.95,88.08,"DHANIAKHALI     2","S"
22.97,88.05,"DHANIAKHALI     1","S"
22.97,88.48,"MO KOLKATA      ","S"
22.97,88.48,"KALYANI         1","S"
22.98,86.85,"KHATRA          ","W"
22.98,88.37,"BAGATI          ","S"
23,86,"PURULIA         3","W"
23,86.63,"KHARIDWAR(CWC)  ","W"
23,88.57,"HARINGHATA      ","S"
23.02,87.6,"KOTALPUR        ","S"
23.03,86.42,"BARABAZAR       ","W"
23.03,87.1,"TALDANGRA       ","W"
23.05,88.53,"CHAKDAH         ","S"
23.07,86.37,"PURIHANSA       ","W"
23.07,86.65,"MANBAZAR        ","W"
23.07,87.45,"JOYPUR          ","W"
23.07,88.82,"BONGAON         ","S"
23.08,86.85,"KADAMDEULI      ","W"
23.08,87.32,"VISHNUPUR       ","W"
23.12,88.22,"BOINCHEE        ","S"
23.12,88.46,"BALAGARH        ","S"
23.13,86.72,"TUSUMA(CWC)     ","W"
23.13,87.2,"ONDA            ","W"
23.13,87.25,"SALBUNDH/J.PURI ","W"
23.15,87.63,"INDAS           ","S"
23.17,86.93,"INDPUR          ","W"
23.18,88.53,"NAKSHIPARA      ","S"
23.18,88.55,"RANAGHAT        ","S"
23.2,86.03,"BAGMANDI        ","W"
23.2,87.53,"PATRASAYAR      ","S"
23.2,88.35,"KALNA           ","S"
23.22,87.07,"BANKURA         1","W"
23.22,87.88,"BURDAWAN        2","S"
23.23,87.03,"BANKURA         2","W"
23.23,87.07,"BANKURA(CWC)    ","W"
23.23,87.85,"BURDAWAN        1","S"
23.23,87.85,"BURDWAN         ","S"
23.25,86.17,"ALSHA           ","W"
23.26,88.06,"MONTESWAR       ","S"
23.29,87.33,"MANKER          2","W"
23.3,86.37,"SIMULA(CWC)     ","W"
23.3,86.97,"CHATNA          ","W"
23.3,87.42,"SONAMUKHI       1","W"
23.32,87.54,"MANGALKOT       ","S"
23.33,86.38,"PURULIA         1","W"
23.33,86.42,"PURULIA         2","W"
23.33,86.75,"ARHARA          ","W"
23.34,86.36,"HATWARA         ","W"
23.35,85.97,"JHALDA          ","W"
23.37,85.98,"JHALDAH/JHALDA  ","W"
23.4,87.38,"PALASDANGA      ","W"
23.4,88.48,"KRISHNANAGAR    2","S"
23.4,88.52,"KRISHNANAGAR    1","S"
23.42,86.07,"KOTSHILA        ","W"
23.42,87.08,"DEULI           ","W"
23.42,87.17,"MALIARA         ","W"
23.43,86.13,"JAIPUR          ","W"
23.43,86.67,"KASHIPUR        ","W"
23.43,87.03,"LACHMANPUR      ","W"
23.43,87.12,"GANGAJALGHATI   ","W"
23.43,87.3,"BARJORA         ","W"
23.43,87.37,"RENDIA          ","W"
23.43,88.1,"MANTESWAR       ","S"
23.45,87.2,"LABPUR          2","W"
23.45,87.55,"MANKER          1","S"
23.47,87.43,"PANGARH AERO    ","W"
23.48,87.32,"DURGAPUR        ","W"
23.48,87.4,"SONAMUKHI       2","W"
23.48,87.47,"KANKSA          ","W"
23.53,86.52,"PARA            ","W"
23.53,86.93,"SALTORA         ","W"
23.53,87.9,"MANGALKOTE      ","S"
23.55,86.67,"RAGHUNATHPUR    ","W"
23.57,87.12,"MAJHIA          ","W"
23.6,87.7,"GHEROPARA       ","S"
23.62,87.17,"LUUCHIPUR       ","W"
23.63,88.12,"KATWA           2","S"
23.65,87.7,"SHANTI NIKETAN  ","S"
23.65,88.13,"KATWA           1","S"
23.67,86.97,"BURNPUR         ","W"
23.67,87.7,"BOLPUR          ","S"
23.68,86.95,"ASANSOLE %A     ","W"
23.68,86.98,"ASANSOL         ","W"
23.68,87.35,"SHAMSUNDAR ROYNA","W"
23.68,88.28,"DEBAGRAM        2","S"
23.7,88.3,"DEBAGRAM        1","S"
23.73,88.23,"KALYANGANJ      ","S"
23.75,87.33,"HETAMPUR        1","W"
23.75,88.12,"SALAR           ","S"
23.77,87.4,"HETAMPUR        2","W"
23.8,87.58,"SHEKHAMPORE     ","S"
23.83,87.82,"LABPUR          1","S"
23.87,88.45,"AMTALA          ","S"
23.87,88.45,"POTKABARI       ","S"
23.88,87.53,"SURI            1","S"
23.88,88,"BHARATPUR       ","S"
23.9,87.5,"RAJNAGAR        ","S"
23.92,87.52,"SURI            2","S"
23.92,87.53,"SURI(CWC)       ","S"
23.93,87.55,"TILPARA BARRAGE ","S"
23.96,88.26,"AKRIGANJ        ","S"
23.97,88.05,"KANDI           ","S"
23.98,87.77,"MAYURESHWAR     ","S"
24.03,87.15,"TANTLOI         ","W"
24.03,87.98,"KHARGRAM        ","S"
24.08,88.27,"BARHAMPORE      2","S"
24.13,88.27,"BARHAMPORE      1","S"
24.15,88.24,"JIAGANJ         ","S"
24.17,87.5,"NALHATI         2","S"
24.17,88.27,"LALBAGH         2","S"
24.18,87.8,"RAMPURHAT       ","S"
24.18,88.28,"LALBAGH         1","S"
24.23,88.23,"AZIMGANJ        ","S"
24.25,87.17,"DUMKA           ","W"
24.25,87.67,"NARAYANPUR      ","S"
24.25,88.4,"CHANDIPUR       ","S"
24.26,87.35,"MURARAI         2","W"
24.28,87.83,"NALHATI         1","S"
24.28,88.1,"SAGARDIGHI      ","S"
24.41,88.26,"LALGOLA         ","S"
24.43,87.88,"MURARAI         1","S"
24.47,88.07,"JONGIPUR        ","S"
24.48,87.05,"JANGIPUR        ","W"
24.83,88.03,"KALICHAK        ","S"
25,88.3,"HABIBPUR        ","S"
25.03,88.13,"MALDA           ","N"
25.15,88.17,"ISLAMPUR        ","N"
25.17,88.37,"BAMONGOLA       ","N"
25.2,87.92,"RATUA           ","N"
25.22,88.2,"GAZOLE          ","N"
25.22,88.77,"BALURGHAT       1","N"
25.22,88.78,"BALURGHAT       2","N"
25.23,88.25,"BANSHIHARI      ","N"
25.27,88.78,"MAHINAGAR       ","N"
25.28,88.57,"TAPAN           ","N"
25.3,88.15,"ITAHAR          1","N"
25.31,88.22,"KUSHMIUNDI      ","N"
25.32,88.77,"MAJHIAN         ","N"
25.32,88.77,"MAJHIAN AMFU    ","N"
25.33,87.92,"CHANCHAL        ","N"
25.38,88.52,"GANGARAMPUR     ","N"
25.42,87.88,"HARISHCHANDRAPUR","N"
25.43,88.73,"KUMARGANJ       ","N"
25.53,88.13,"RAIGANJ         2","N"
25.6,88.1,"RAIGANJ(PTO)    ","N"
25.62,88.13,"RAIGANJ         1","N"
25.64,88.32,"KALIAGANJ       ","N"
25.67,88.23,"HEMTABAD        ","N"
25.75,88.13,"ITAHAR          2","N"
25.78,87.92,"KARANDIGHI      ","N"
25.87,87.84,"DALKOLA (FCS)   ","N"
26.12,89.47,"DINHATA         2","N"
26.15,89.47,"DINHATA         1","N"
26.17,89.25,"SALBARI         ","N"
26.23,89.38,"PUNDIBARI       ","N"
26.3,89.65,"TOOFANGANJ      ","N"
26.32,88.92,"MEKHLIGANJ      1","N"
26.32,89.63,"TUFANGANJ       ","N"
26.32,89.65,"CHEPAN          ","N"
26.33,88.75,"HELDIBARI       ","N"
26.33,88.9,"MEKHLIGANJ      2","N"
26.33,88.92,"MEKLIGANJ       ","N"
26.33,89.23,"MATHABHANGA     2","N"
26.33,89.47,"COOCH BEHAR AERO","N"
26.35,88.28,"CHOPRA          2","N"
26.35,89.22,"MATHABHANGA     1","N"
26.37,88.31,"CHOPRA          1","N"
26.4,89.38,"PUNDIBARI AMFU  ","N"
26.47,88.42,"SILIGURI        2","N"
26.47,89.55,"ALIPURDUAR      1","N"
26.48,89.52,"ALIPURDUAR      2","N"
26.5,89.53,"ALIPURDUAR(CWC) ","N"
26.52,88.72,"JALPAIGURI      2","N"
26.52,89.2,"FALAKATA        ","N"
26.52,89.8,"BAROBHISHA      ","N"
26.53,88.72,"JALPAIGURI      1","N"
26.55,88.18,"KHARIBARI       ","N"
26.55,88.75,"DAMOHANI        ","N"
26.57,88.63,"CHEL            ","N"
26.57,88.92,"MAINAGURI       ","N"
26.58,88.68,"MOHITNAGAR      ","N"
26.58,88.93,"NH31 BRIDGE     ","N"
26.58,89,"DHUPGURI        ","N"
26.62,89.8,"KUMARGRAM       2","N"
26.62,89.83,"KUMARGRAM       1","N"
26.63,88.32,"BAGDOGRA        ","N"
26.63,88.32,"BAGDOGRA AERO   ","N"
26.66,88.74,"BHUTANGHAT/T.T.E","N"
26.66,89.84,"JAIGAON         ","N"
26.66,89.84,"SANKOS          ","N"
26.67,89.33,"HASIMARA        1","N"
26.7,89.45,"KALCHINI        ","N"
26.7,89.6,"JAYANTI         ","N"
26.72,88.43,"SILIGURI        1","N"
26.72,89.37,"HASIMARA  AERO  ","N"
26.73,89.37,"HASIMARA        2","N"
26.75,88.42,"CHAMPASARI      ","N"
26.75,89.58,"BUXADUR         ","N"
26.76,88.59,"GAJOLDOBA       ","N"
26.77,89.58,"BUXA            ","N"
26.8,89.35,"MOHUA TEA  ESTAT","N"
26.85,88.73,"MALBAZAR        ","N"
26.85,88.83,"MURTI           ","N"
26.87,88.77,"NEORA           ","N"
26.88,88.28,"KURSEONG        ","N"
26.88,88.47,"SEVOK           ","N"
26.88,88.55,"BAGROKOTE       ","N"
26.92,88.5,"MONGPOO         ","N"
26.92,88.92,"NAGARKATA       ","N"
26.93,88.7,"GARUBATHAN      ","N"
26.93,89,"CHENGMARI/DIANA ","N"
26.99,88.81,"SAMSING         ","N"
27,88,"JHEPI           ","N"
27,88.15,"SUKHIAPOKHRI    ","N"
27.02,88.08,"TANGLU          ","N"
27.02,88.15,"RAMAN           ","N"
27.03,88.16,"DARJEELING      2","N"
27.03,88.87,"PAREN/JHALUNG   ","N"
27.05,88.25,"BIJANBARI       ","N"
27.05,88.27,"DARJEELING      1","N"
27.05,88.42,"TEESTA BAZAR    ","N"
27.06,88.47,"RESSISUM        ","N"
27.07,88.47,"KALIMPONG       ","N"
27.07,88.47,"KALIMPONG AMFU  ","N"
27.07,88.67,"LABHA(LAVA)     ","N"
27.07,88.87,"RANGO           ","N"
27.08,88.58,"PEDONG          1","N"
27.12,88,"SANDAKPHU       ","N"
27.12,88.23,"SINGLA BAZAR    ","N"
27.12,88.58,"ALGARAH         ","N"
27.13,88.62,"PEDONG          3","N"
27.15,88.62,"PEDONG          2","N"
27.16,88.56,"MUNSONG         ","N"
27.22,88.02,"PHALUT          ","N"
