"LAT","LON","DISTRICT","STATION","YEAR","January","February","March","April","May","June","July","August","September","October","November","December"
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1907,NA,5.59285714285714,17.1173913043478,2.8421052631579,21.9695652173913,245.454545454545,NA,301.216666666667,NA,21.7,0,NA
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1908,7.40555555555555,0,NA,0,147.390909090909,180.6,152.8,270.9,126.4,18.7,3.8,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1909,0,27.3428571428571,0,31.4,85.4,270.8,188.5,366.8,196.3,52.8,0,241.3
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1910,28.5,39.4607142857143,0,0,59.5,160.6,131.8,136.5,80.1,343.5,0,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1911,0,24.4428571428572,3.1,82.8,58.1,104.3,122.7,228.2,164.8,38.6,10.7,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1912,0,15.7,79,3.4,63.8,120.1,315.9,49.3,114.2,116.7,46.5,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1913,13.2,9.01071428571429,15.5,0,31.7,287.5,583.1,68.2,32.7,84,32.2,23.9
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1914,0,1.86428571428571,3.6,15.9,67.4,146.7,161.5,93.8,NA,9.06153846153846,0,5.1
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1915,2.3,0.828571428571428,94.4,37.8,46.6,135.7,193.4,181.7,149.5,145.4,317.5,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1916,0,3.3,0,2.6,21.8,375.9,90.6,139.8,140.7,166.1,67.1,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1917,0,10.9785714285714,0.3,11.5,34.1,300.2,364.1,269.9,176.3,80.1,101.9,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1918,0,0,1.55,13.1379310344828,68.4066666666667,178.965517241379,107.673333333333,333.973333333333,192.620689655172,5.78666666666667,2.58620689655172,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1919,17.9,16.8821428571429,0,86.4,73.2,293,108.5,309.5,87.8,30.8,150.1,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1920,0,81.4,40.9,0,66,88.6,158.4,134,22.1,86.4,67,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1921,21.3,0,0,36.3,15.81,245.7,98.8,284.2,146.6,118.5,0,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1922,0,0,0,8.46428571428571,3.92666666666667,274.551724137931,182.486666666667,158.1,98.6896551724138,95.8933333333333,38.1428571428571,NA
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1923,0,55.7214285714286,0,0,0,104.9,269.2,329.6,23.1428571428571,49.29,108.4,9.40333333333333
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1924,0,3.6,0,0,7.4,59.2,235.9,283.8,128.8,26.2,198.9,1.3
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1925,12.6066666666667,0,2.17,14.4827586206897,29.6566666666667,157.137931034483,444.746666666667,295.636666666667,38.6896551724138,418.19,19.6551724137931,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1926,4.8,0,110.7,0,25.4,29.7,274.2,229,107.4,70.5,0,6.4
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1927,2,0,0,7.4,36.3,49.3,442.6,207.1,178.1,42.1,5.3,0
"20.85","88.25","24 PARGANAS S   ","SANDHEADS       ",1928,0,1.8,0,33.3,27.5,276.9,285.4,295,74.4,266.7,51,0
