"LAT","LON","DISTRICT","STATION","count"
22.42,87.32,"PASCHIM MEDINIPUR","MIDNAPORE       ",120
22.53,88.33,"KOLKATA         ","ALIPUR          ",120
24.13,88.27,"MURSHIDABAD     ","BARHAMPORE      1",120
26.53,88.72,"JALPAIGURI      ","JALPAIGURI      1",120
25.03,88.13,"MALDA           ","MALDA           ",119
21.65,88.05,"24 PARGANAS S   ","SAGAR ISLAND    1",118
21.78,87.75,"PURBA MEDINIPUR","CONTAI          ",118
23.4,88.52,"NADIA           ","KRISHNANAGAR    1",118
27.05,88.27,"DARJEELING      ","DARJEELING      1",118
23.22,87.07,"BANKURA         ","BANKURA         1",111
26.33,89.47,"COOCH BEHAR     ","COOCH BEHAR AERO",111
23.23,87.85,"PURBA BARDHAMAN         ","BURDWAN         ",106
26.52,89.2,"ALIPURDUAR      ","FALAKATA        ",104
22.88,87.78,"HOOGLY          ","ARAMBAGH        ",102
23.97,88.05,"MURSHIDABAD     ","KANDI           ",101
24.18,87.8,"BIRBHUM         ","RAMPURHAT       ",101
23.67,87.7,"BIRBHUM         ","BOLPUR          ",97
23.68,86.98,"PASCHIM BARDHAMAN         ","ASANSOL         ",97
23.92,87.53,"BIRBHUM         ","SURI(CWC)       ",97
27.07,88.47,"KALIMPONG       ","KALIMPONG       ",97
23.07,88.82,"24 PARGANAS N   ","BONGAON         ",94
23.18,88.55,"NADIA           ","RANAGHAT        ",94
23.2,88.35,"PURBA BARDHAMAN         ","KALNA           ",94
20.85,88.25,"24 PARGANAS S   ","SANDHEADS       ",93
22.67,88.88,"24 PARGANAS N   ","BASIRHAT(DEPT)  ",92
23.37,85.98,"PURULIA ","JHALDAH/JHALDA  ",91
25.62,88.13,"UTTAR DINAJPUR","RAIGANJ         1",90
23.65,88.13,"PURBA BARDHAMAN         ","KATWA           1",89
26.15,89.47,"COOCH BEHAR     ","DINHATA         1",88
26.72,88.43,"DARJEELING      ","SILIGURI        1",88
26.47,89.55,"ALIPURDUAR      ","ALIPURDUAR      1",87
25.33,87.92,"MALDA           ","CHANCHAL        ",85
23.15,87.63,"BANKURA         ","INDAS           ",84
22.47,88.12,"HOWRAH          ","ULUBERIA        1",82
22.58,88.02,"HOWRAH          ","AMTA            ",82
22.88,86.78,"BANKURA         ","RANIBANDH       ",78
25.38,88.52,"DAKSHIN DINAJPUR","GANGARAMPUR     ",76
23.07,87.45,"BANKURA         ","JOYPUR          ",73
22.02,87.97,"PURBA MEDINIPUR","NANDIGRAM       ",72
22.3,87.92,"PURBA MEDINIPUR","TAMLUK          1",71
23.83,87.82,"BIRBHUM         ","LABPUR          1",71
26.92,88.5,"DARJEELING      ","MONGPOO         ",71
22.48,88.18,"24 PARGANAS S   ","BUDGE BUDGE     ",70
22.65,88.45,"24 PARGANAS N   ","DUM DUM AERO    ",70
24.47,88.07,"MURSHIDABAD     ","JONGIPUR        ",70
26.63,88.32,"DARJEELING      ","BAGDOGRA AERO   ",70
23.55,86.67,"PURULIA ","RAGHUNATHPUR    ",69
27.08,88.58,"KALIMPONG       ","PEDONG          1",68
22.18,88.18,"24 PARGANAS S   ","DIAMOND HARBOUR 1",67
22.25,87.58,"PASCHIM MEDINIPUR","PINGLA          ",67
22.42,87.72,"PURBA MEDINIPUR","PANSKURA        ",67
26.77,89.58,"ALIPURDUAR      ","BUXA            ",67
26.88,88.28,"DARJEELING      ","KURSEONG        ",67
23.03,86.42,"PURULIA ","BARABAZAR       ",66
26.7,89.45,"ALIPURDUAR      ","KALCHINI        ",65
21.87,87.43,"PASCHIM MEDINIPUR","MOHANPUR        ",64
23.3,87.42,"BANKURA         ","SONAMUKHI       1",64
23.45,87.55,"PURBA BARDHAMAN         ","MANKER          1",64
25.22,88.77,"DAKSHIN DINAJPUR","BALURGHAT       1",64
22.75,88.35,"HOOGLY          ","SERAMPORE       ",63
22.98,86.85,"BANKURA         ","KHATRA          ",63
23.08,87.32,"BANKURA         ","VISHNUPUR       ",63
23.48,87.32,"PASCHIM BARDHAMAN         ","DURGAPUR        ",63
24.43,87.88,"BIRBHUM         ","MURARAI         1",63
22.92,88.4,"HOOGLY          ","HOOGHLY         ",62
23.33,86.42,"PURULIA ","PURULIA         2",62
26.35,89.22,"COOCH BEHAR     ","MATHABHANGA     1",62
22.77,88.37,"24 PARGANAS N   ","BARRACKPORE     ",61
26.32,89.63,"COOCH BEHAR     ","TUFANGANJ       ",61
22.12,87.75,"PASCHIM MEDINIPUR","BHAGWANPUR      ",60
22.12,88.1,"PURBA MEDINIPUR","KUKRAHATI       ",60
22.65,87.72,"PASCHIM MEDINIPUR","GHATAL          ",60
23.43,87.12,"BANKURA         ","GANGAJALGHATI   ",60
23.65,87.7,"BIRBHUM         ","SHANTI NIKETAN  ",60
24.23,88.23,"MURSHIDABAD     ","AZIMGANJ        ",60
25.22,88.2,"MALDA           ","GAZOLE          ",60
25.22,88.78,"DAKSHIN DINAJPUR","BALURGHAT       2",60
25.3,88.15,"UTTAR DINAJPUR","ITAHAR          1",60
22.72,88.48,"24 PARGANAS N   ","BARASAT         ",59
23.53,87.9,"PURBA BARDHAMAN         ","MANGALKOTE      ",59
22.13,87.23,"PURBA MEDINIPUR","KESIARY KALTIKRI",58
23.02,87.6,"BANKURA         ","KOTALPUR        ",58
23.07,86.65,"PURULIA ","MANBAZAR        ",58
24.18,88.28,"MURSHIDABAD     ","LALBAGH         1",58
26.62,89.83,"ALIPURDUAR      ","KUMARGRAM       1",58
22.63,86.8,"JHARGRAM        ","SILDA BELPAHARI ",57
23.13,87.2,"BANKURA         ","ONDA            ",57
22.45,87,"JHARGRAM        ","JHARGRAM        ",56
23,88.57,"NADIA           ","HARINGHATA      ",56
26.33,88.92,"COOCH BEHAR     ","MEKLIGANJ       ",56
23.33,86.38,"PURULIA ","PURULIA         1",55
23.75,87.33,"BIRBHUM         ","HETAMPUR        1",54
23.87,88.45,"MURSHIDABAD     ","POTKABARI       ",54
24.28,88.1,"MURSHIDABAD     ","SAGARDIGHI      ",54
22.73,87.52,"PURBA MEDINIPUR","CHANDRAKONA     ",53
23.03,87.1,"BANKURA         ","TALDANGRA       ",53
22.03,87.3,"PURBA MEDINIPUR","PACHET%KHARAI   ",52
22.77,87.33,"PASCHIM MEDINIPUR","AMLAGORA        ",52
22.98,88.37,"HOOGLY          ","BAGATI          ",52
22.5,87.95,"HOWRAH          ","ULUBERIA        2",51
24.28,87.83,"BIRBHUM         ","NALHATI         1",51
21.7,87.55,"PURBA MEDINIPUR","RAMNAGAR        ",50
21.97,87.27,"PASCHIM MEDINIPUR","DANTAN          ",50
22.88,86.5,"PURULIA ","BANDWAN         ",50
24.41,88.26,"MURSHIDABAD     ","LALGOLA         ",50
22.92,87.07,"BANKURA         ","SIMLAPAL        ",49
23.17,86.93,"BANKURA         ","INDPUR          ",49
23.73,88.23,"MURSHIDABAD     ","KALYANGANJ      ",49
24.25,87.17,"MURSHIDABAD     ","DUMKA           ",49
26.88,88.47,"DARJEELING      ","SEVOK           ",49
22.17,87.37,"PASCHIM MEDINIPUR","NARAYANGARH     ",48
22.43,87.87,"PURBA MEDINIPUR","KOLAGHAT        ",48
22.58,88.32,"HOWRAH          ","HOWRAH          ",48
27.12,88.23,"DARJEELING      ","SINGLA BAZAR    ",48
22.33,87.33,"PASCHIM MEDINIPUR","KHARAGPORE      1",47
23.53,86.93,"BANKURA         ","SALTORA         ",47
23.62,87.17,"PASCHIM BARDHAMAN         ","LUUCHIPUR       ",47
23.96,88.26,"MURSHIDABAD     ","AKRIGANJ        ",47
26.63,88.32,"DARJEELING      ","BAGDOGRA        ",47
23.42,87.17,"BANKURA         ","MALIARA         ",46
23.43,87.3,"BANKURA         ","BARJORA         ",46
22.35,87.22,"PASCHIM MEDINIPUR","KALAIKONDA  AF  ",45
23.43,88.1,"PURBA BARDHAMAN         ","MANTESWAR       ",45
23.3,86.97,"BANKURA         ","CHATNA          ",44
23.4,87.38,"BANKURA         ","PALASDANGA      ",44
23.88,87.53,"BIRBHUM         ","SURI            1",44
26.62,89.8,"ALIPURDUAR      ","KUMARGRAM       2",44
26.87,88.77,"JALPAIGURI      ","NEORA           ",44
27.07,88.67,"KALIMPONG       ","LABHA(LAVA)     ",44
22.8,86.95,"BANKURA         ","RAIPUR          ",43
26.33,89.23,"COOCH BEHAR     ","MATHABHANGA     2",43
26.48,89.52,"ALIPURDUAR      ","ALIPURDUAR      2",43
26.55,88.75,"JALPAIGURI      ","DAMOHANI        ",43
26.67,89.33,"ALIPURDUAR      ","HASIMARA        1",43
27.12,88.58,"DARJEELING      ","ALGARAH         ",43
